time_s,ax,ay,az,gx,gy,gz,activity,split,recording_id
2.0,0.39477650237220274,0.6606016316131308,0.20886801851076775,-0.0220331158488988,-0.1836426109075546,-0.0664657354354858,walking,train,9
2.0100000000000002,0.43090860710076173,0.5722209113766826,0.47486537166198,0.0142390886321663,-0.2149686068296432,-0.0599540583789348,walking,train,9
2.02,0.4790672649319589,0.48701029283373626,0.6208521185546862,0.0720114856958389,-0.2130201011896133,-0.0592879019677639,walking,train,9
2.0300000000000002,0.4977250347432827,0.4231979889677537,0.6945177881060713,0.1464211344718933,-0.1747660785913467,-0.0596542879939079,walking,train,9
2.04,0.42387678897047965,0.42648443920192075,0.5414060568181859,0.2139693647623062,-0.1421577334403991,-0.0588049367070198,walking,train,9
2.05,0.35752403792347476,0.435616784730389,0.39393124299495175,0.2535723447799682,-0.1519002616405487,-0.0544416159391403,walking,train,9
2.06,0.31595583252168596,0.46407912301571996,0.26509541743223647,0.2693769037723541,-0.1583120226860046,-0.0328248478472232,walking,train,9
2.07,0.2840861879796101,0.5040408218083765,0.1442171843225093,0.2666623294353485,-0.1764814257621765,-0.013489662669599,walking,train,9
2.08,0.28530698008038363,0.5832370901217271,0.050489392675582334,0.2378510683774948,-0.1966493129730224,-0.0132398540154099,walking,train,9
2.09,0.2712490070923893,0.6241895381539467,0.05122256524245253,0.1727842688560485,-0.2484429478645324,-0.0426339954137802,walking,train,9
2.1,0.2020502855174535,0.5271208263035498,0.3928634125285254,0.0644506141543388,-0.3294808566570282,-0.1011391654610633,walking,train,9
2.11,0.13389415087316098,0.39635564515950905,0.7593137804060298,-0.0541085377335548,-0.3842222392559051,-0.147053986787796,walking,train,9
2.12,0.06968134414691432,0.13814187992116356,1.2196000408182703,-0.1453552842140197,-0.3799088895320892,-0.1693702191114425,walking,train,9
2.13,0.030768591570751565,-0.08846885535755646,1.6034663447044726,-0.1895214319229126,-0.2845319509506225,-0.1687207072973251,walking,train,9
2.14,0.09216672035812243,-0.18977836518428784,1.6843390997463181,-0.181394338607788,-0.148752674460411,-0.1380608677864074,walking,train,9
2.15,0.1715060895641901,-0.2626475655189707,1.7034948805399035,-0.1374113708734512,-0.0051460564136505,-0.09937384724617,walking,train,9
2.16,0.32524817506806014,-0.21757418054875913,1.4667090196972958,-0.0969756841659545,0.1876728534698486,-0.0543083846569061,walking,train,9
2.17,0.42805363266274177,-0.1586147764442872,1.1903154769164643,-0.0712120980024337,0.4080539643764496,-0.0065449844114482,walking,train,9
2.18,0.3084609508195426,-0.03902660780587017,0.7409879349274979,-0.0599374026060104,0.5781069993972778,0.0135063165798783,walking,train,9
2.19,0.165680111752488,0.059670882954484715,0.3043727218704758,-0.0670652762055397,0.6891052722930908,0.0313093401491642,walking,train,9
2.2,-0.08350554592498532,0.06250612951823102,-0.07390870290582119,-0.0849848762154579,0.6695369482040405,0.0469806641340255,walking,train,9
2.21,-0.29577959517388486,0.06026289812432503,-0.39308181551491383,-0.0954601839184761,0.5470141768455505,0.069180317223072,walking,train,9
2.22,-0.32901046335929746,0.03338603825392881,-0.42554457633349274,-0.0850681439042091,0.3657530546188354,0.1069846823811531,walking,train,9
2.23,-0.3190503600747261,0.007064382665218503,-0.4246405062284449,-0.0449655428528785,0.1582620590925216,0.1401592642068863,walking,train,9
2.24,-0.08552878685322873,-0.016383471267631275,-0.2510258553112271,0.024231432005763,-0.0268460940569639,0.1629251539707183,walking,train,9
2.25,0.150868824930833,-0.030052116882669056,-0.09558108238233871,0.1169770285487175,-0.1448889672756195,0.1805949509143829,walking,train,9
2.2600000000000002,0.40279416936355805,0.009077184737919047,-0.03823548355099629,0.2142358273267746,-0.211038276553154,0.1784632503986358,walking,train,9
2.27,0.6394883602359227,0.05232984107038703,0.010191576601923186,0.2943744361400604,-0.2392499893903732,0.1501849144697189,walking,train,9
2.2800000000000002,0.7889723171757248,0.11919191920964031,0.0075530466536105866,0.3424708843231201,-0.2634647786617279,0.1016887426376342,walking,train,9
2.29,0.9377737312588047,0.17151097163818418,0.015667560394008163,0.35396209359169,-0.3071979284286499,0.0403024479746818,walking,train,9
2.3000000000000003,1.0824250252062,0.13540289712219722,0.08916466907829458,0.3446192443370819,-0.3390069007873535,-0.027462288737297,walking,train,9
2.31,1.2054009947789028,0.08564355150786473,0.14681843094417027,0.3233022689819336,-0.3093129694461822,-0.1063185259699821,walking,train,9
2.32,1.1879227623590474,-0.05257483421853466,0.10180869417887557,0.2842321991920471,-0.240215927362442,-0.1905706375837326,walking,train,9
2.33,1.1601142596774003,-0.1880987041996406,0.04668125852499589,0.2298571914434433,-0.1305999159812927,-0.2654466032981872,walking,train,9
2.34,1.0607772789652354,-0.3049653071967936,-0.07850277626242302,0.1670886278152465,-0.0048296325840055,-0.316024512052536,walking,train,9
2.35,0.9702154750116736,-0.42493551185880607,-0.18778300681113771,0.0964594185352325,0.0882656946778297,-0.3495488166809082,walking,train,9
2.36,0.9448203252051884,-0.5679538375863455,-0.17895761522179587,0.038470521569252,0.1157945990562439,-0.3711988925933838,walking,train,9
2.37,0.9168751258072101,-0.7012019121195602,-0.15468189463477872,0.0102421510964632,0.1087000370025634,-0.3900178074836731,walking,train,9
2.38,0.8685340113110335,-0.7563051480141331,-0.006830695544438742,0.0082603367045521,0.0599707104265689,-0.407571017742157,walking,train,9
2.39,0.8161572923536959,-0.8125449369053821,0.1307844228711567,0.0284448694437742,-0.0040802066214382,-0.4227260649204254,walking,train,9
2.4,0.7288582804431794,-0.8786199405924948,0.17982113588142207,0.0625687167048454,-0.0293941423296928,-0.4330348372459411,walking,train,9
2.41,0.6384515862225776,-0.9401341398937755,0.20706351986944926,0.0910802036523819,-0.0306265316903591,-0.4276889264583587,walking,train,9
2.42,0.5189352451749057,-0.9589273041367593,0.030158517680844876,0.1062186062335968,-0.0050294790416955,-0.4053393900394439,walking,train,9
2.43,0.40498143484865495,-0.9669904362846568,-0.14068834954741682,0.0958432257175445,0.0356726646423339,-0.3690338730812073,walking,train,9
2.44,0.3482831964614721,-0.864608493106986,-0.24917835091552892,0.0555407740175724,0.0583053193986415,-0.3249509930610657,walking,train,9
2.45,0.2999405058193541,-0.7663235111923408,-0.3441058474608302,8.32695222925e-05,0.0424341484904289,-0.2823169827461242,walking,train,9
2.46,0.34642081299679556,-0.7145329256672661,-0.28511915376039815,-0.0377710573375225,0.0080271819606423,-0.2494088858366012,walking,train,9
2.47,0.38769439203909684,-0.6666167985424628,-0.2296823655201214,-0.047979898750782,-0.0231156200170516,-0.2384839206933975,walking,train,9
2.48,0.3636730184180865,-0.6672883009761073,-0.2187631520339031,-0.0366718992590904,-0.0400026775896549,-0.2410153150558471,walking,train,9
2.49,0.33549932382336595,-0.6640361363746079,-0.21515296347421767,-0.007627488579601,-0.0255470909178257,-0.2396830022335052,walking,train,9
2.5,0.2475624796713517,-0.6043117719313736,-0.3167394474666123,0.0339073501527309,-0.001865237369202,-0.2286914139986038,walking,train,9
2.5100000000000002,0.16569610328888165,-0.5435423011631041,-0.4202374028249126,0.0774739682674408,-0.0045465161092579,-0.2115045934915542,walking,train,9
2.52,0.1774171187924219,-0.46666060001713605,-0.5532041942911679,0.1128635108470916,-0.0088099157437682,-0.1958832293748855,walking,train,9
2.5300000000000002,0.19151477134381115,-0.3870071116634323,-0.6888297970696021,0.1334144324064254,-0.0020983919966965,-0.1790461242198944,walking,train,9
2.54,0.24996984996777805,-0.2556211358997568,-0.8740793112178464,0.142923817038536,0.0146720902994275,-0.1625754237174987,walking,train,9
2.5500000000000003,0.3069546410283127,-0.1246055037208129,-1.057822614544856,0.136045753955841,0.0256303586065769,-0.1596443355083465,walking,train,9
2.56,0.3319896427387179,-0.0016375486179759369,-1.2088355053645392,0.1045365631580352,0.0213336516171693,-0.16897052526474,walking,train,9
2.57,0.35618197924498707,0.11917271398977909,-1.3542658750974041,0.0543583445250988,0.0121073890477418,-0.1829764544963836,walking,train,9
2.58,0.357559978377301,0.1815655597035711,-1.348554938832612,-0.0093261869624257,-0.0027478942647576,-0.1980482339859008,walking,train,9
2.59,0.35796890458756664,0.241739559201418,-1.3367904395326082,-0.0791393592953682,-0.0313593037426471,-0.2171336114406585,walking,train,9
2.6,0.3250102022604228,0.22551307878625074,-1.1165864739231082,-0.1423076093196869,-0.0617193728685379,-0.235086515545845,walking,train,9
2.61,0.2918662163572648,0.20804895550619842,-0.896253474900415,-0.1879726201295852,-0.0838524103164672,-0.2495587617158889,walking,train,9
2.62,0.24991555280546254,0.1317586697050417,-0.6697874137876104,-0.2100557088851928,-0.0994404628872871,-0.257053017616272,walking,train,9
2.63,0.20806557174306464,0.055682906274364743,-0.44380863789691644,-0.2179996073246002,-0.0950771421194076,-0.254971295595169,walking,train,9
2.64,0.1737660302059825,-0.004305271373297503,-0.25437263744696725,-0.2125371396541595,-0.0822203308343887,-0.2338374704122543,walking,train,9
2.65,0.13974119339562766,-0.06399715234827848,-0.0655287590823438,-0.1905539780855178,-0.0567065477371215,-0.1921194493770599,walking,train,9
2.66,0.15522884480836385,-0.07028483569113894,0.016591663427174913,-0.1542484611272812,-0.0374213233590126,-0.1461713165044784,walking,train,9
2.67,0.17071649622109936,-0.07657251903399913,0.09871208593668997,-0.1064850687980651,-0.0315091870725154,-0.1027545928955078,walking,train,9
2.68,0.20904745382090717,-0.021096314034391377,0.06770280470757131,-0.0551743879914283,-0.0269293636083602,-0.0577557422220706,walking,train,9
2.69,0.24742143503875472,0.03449621851951097,0.03648045234405103,-0.0107251144945621,-0.0173034071922302,-0.0147220520302653,walking,train,9
2.7,0.3150353789229512,0.15555030270159367,-0.10059748935973489,0.0229657348245382,-0.0062618684023618,0.0229157730937004,walking,train,9
2.71,0.3829274966521987,0.27722715414665966,-0.2386824862585999,0.0441328473389148,-0.0093095330521464,0.0537588037550449,walking,train,9
2.72,0.48016958772078117,0.4298597693643652,-0.3383956878382305,0.0498118288815021,-0.0216667298227548,0.0726276785135269,walking,train,9
2.73,0.5779175368705562,0.5830259190791134,-0.4374475367642151,0.0440828874707222,-0.0380874797701835,0.0780735090374946,walking,train,9
2.74,0.6621571825350312,0.6950493608519968,-0.43341644626621867,0.0346567742526531,-0.0539419986307621,0.0789894685149192,walking,train,9
