time_s,ax,ay,az,gx,gy,gz,activity,split,recording_id
2.0,-0.07476668441675835,0.5587259851776775,-0.49121663315579844,-0.1213403493165969,0.125270664691925,0.2305400073528289,walking,train,253884678
2.0100000000000002,-0.03526164073079324,0.667532244384148,-0.5811505240401904,-0.0873164236545562,0.0886154249310493,0.2359858304262161,walking,train,253884678
2.02,0.006561541807109689,0.7780983839416151,-0.6024412797883993,-0.0725610628724098,0.0465476624667644,0.2450288981199264,walking,train,253884678
2.0300000000000002,0.04620387506728272,0.8860078228926352,-0.6079992173740949,-0.0710289031267166,-0.003297473071143,0.2558872401714325,walking,train,253884678
2.04,0.07887088843586464,0.9854199590839412,-0.5632366488155578,-0.0751091092824935,-0.0436831936240196,0.2613830268383026,walking,train,253884678
2.05,0.11225145722713015,1.0686176958144649,-0.5112277009577316,-0.0842687562108039,-0.0674316585063934,0.2576359212398529,walking,train,253884678
2.06,0.14801228134125455,1.0977279581925248,-0.43504651314451476,-0.0951937213540077,-0.0792392790317535,0.2499251514673233,walking,train,253884678
2.07,0.17374574454871758,1.1190725279923717,-0.3825050811331026,-0.0985744595527648,-0.0774240046739578,0.2374513745307922,walking,train,253884678
2.08,0.1646435754638418,1.1134386322051004,-0.4120895293266499,-0.0862006098031997,-0.0616860650479793,0.2146188765764236,walking,train,253884678
2.09,0.14468833742537626,1.111063981442458,-0.4472348936782917,-0.0666322708129882,-0.02246611751616,0.1867402344942093,walking,train,253884678
2.1,0.08483360476712962,1.1206714004409857,-0.5028240371379263,-0.052176684141159,0.013972626067698,0.1603937596082687,walking,train,253884678
2.11,0.02676415694165453,1.1263754399144297,-0.5329272790186204,-0.0494620986282825,0.0286613702774047,0.1381607949733734,walking,train,253884678
2.12,-0.024507797929006613,1.117217316031804,-0.4659926515071868,-0.0536921881139278,0.0115245021879673,0.118609108030796,walking,train,253884678
2.13,-0.06047723124766768,1.100564415904334,-0.3836034523080623,-0.0600206740200519,-0.0415681451559066,0.102221667766571,walking,train,253884678
2.14,-0.03546008159423476,1.054041876857528,-0.2396216903847415,-0.0599040947854518,-0.1155947521328926,0.087899312376976,walking,train,253884678
2.15,-0.008098874619561405,0.9970535956775991,-0.09495742379046769,-0.050161562860012,-0.1974653452634811,0.0745761841535568,walking,train,253884678
2.16,0.028909356322501606,0.8969933024441035,0.052515707100318734,-0.0353395864367485,-0.2784699499607086,0.0572228170931339,walking,train,253884678
2.17,0.0578679674035227,0.7956558543184417,0.20633113468475403,-0.020950611680746,-0.3679680228233337,0.0306764934211969,walking,train,253884678
2.18,0.05146442355845658,0.6887078370055097,0.3880084094296753,-0.0160210561007261,-0.4511376321315765,-0.004130168352276,walking,train,253884678
2.19,0.03554847482122792,0.5721092139924311,0.5804194333152174,-0.0292276032269001,-0.513006865978241,-0.0420511104166507,walking,train,253884678
2.2,-0.024331339183472064,0.4109079974647981,0.8224390584307498,-0.0571728534996509,-0.5531261563301086,-0.0815541744232177,walking,train,253884678
2.21,-0.08846394417139951,0.23658931815963086,1.0458536123715296,-0.0877827331423759,-0.56405109167099,-0.1171602234244346,walking,train,253884678
2.22,-0.17332143507216352,-0.0016539510448360106,1.178601124593797,-0.1067348793148994,-0.520567774772644,-0.1391766816377639,walking,train,253884678
2.23,-0.2723219718935519,-0.2225185633908912,1.2823921972342214,-0.1105985790491104,-0.4364988505840301,-0.1453719288110733,walking,train,253884678
2.24,-0.44406999240418343,-0.35399270331379473,1.2372402396391526,-0.1001066192984581,-0.3228859007358551,-0.1396763026714325,walking,train,253884678
2.25,-0.6020672393706482,-0.45447619421002744,1.1658463267771946,-0.070795752108097,-0.1810779124498367,-0.1098158508539199,walking,train,253884678
2.2600000000000002,-0.6852010867584366,-0.38623715223672656,0.9515832162979316,-0.0220830775797367,-0.0296439509838819,-0.0509276427328586,walking,train,253884678
2.27,-0.7514408127991943,-0.30435963228267265,0.7411414780911404,0.0408187210559845,0.1013889759778976,0.01960164681077,walking,train,253884678
2.2800000000000002,-0.7204989578502923,-0.1440282628956094,0.5526817649544566,0.1051361039280891,0.1739167273044586,0.0829531028866767,walking,train,253884678
2.29,-0.6637953484921697,0.0004997408382057403,0.36727780941490407,0.164790391921997,0.1852746903896331,0.1247377470135688,walking,train,253884678
2.3000000000000003,-0.4491165162488193,0.048118963758800905,0.20061225110639164,0.2102722078561782,0.1752490401268005,0.1554975062608719,walking,train,253884678
2.31,-0.22429087734210934,0.08290885933529316,0.07199843798424932,0.2309397011995315,0.1273857206106186,0.1752323806285858,walking,train,253884678
2.32,0.06695634121876931,0.033717240690969326,0.19247353605625608,0.2146688401699066,0.0178529862314462,0.1688539385795593,walking,train,253884678
2.33,0.35259707979504457,-0.023060774841136104,0.34035632845170105,0.1650901585817337,-0.1550145447254181,0.1397262662649154,walking,train,253884678
2.34,0.5991495883189584,-0.13273094866714513,0.6793248402037397,0.1029710918664932,-0.3259835243225097,0.1009226664900779,walking,train,253884678
2.35,0.8259321404512712,-0.24121676541467066,1.0017352491093805,0.0507611036300659,-0.4408788084983825,0.0642674192786216,walking,train,253884678
2.36,0.9043764044660372,-0.3408160930843806,1.1999066064937245,0.0175532158464193,-0.4900078475475311,0.0275622121989727,walking,train,253884678
2.37,0.9557071369284799,-0.43430882640282475,1.3628080995921472,0.0034307043533772,-0.4606969654560089,-0.0177697166800498,walking,train,253884678
2.38,0.7878506131004248,-0.47843552053338556,1.2405861012098789,0.0057122893631458,-0.3447524905204773,-0.0708457082509994,walking,train,253884678
2.39,0.6071079261736849,-0.5175190979239715,1.1008063626135136,0.011874234303832,-0.170053020119667,-0.1198415011167526,walking,train,253884678
2.4,0.3140278577378499,-0.5126384227379399,0.8079639516169752,0.0129567375406622,0.0217833071947097,-0.1549146175384521,walking,train,253884678
